urg,bairro,zona_fiscal,faixa_area,area_min,area_max,valor_ufinig_m2
CENTRO,RANCHO NOVO,1,"20.000,01 a 50.000 m²",20000.01,50000.0,0.344
CENTRO,RANCHO NOVO,1,"50.000,01 a 100.000 m²",50000.01,100000.0,0.241
CENTRO,RANCHO NOVO,1,"100.000,01 a 500.000 m²",100000.01,500000.0,0.193
CENTRO,RANCHO NOVO,1,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.154
CENTRO,RANCHO NOVO,1,acima de  1.000.000 m²,1000000.0,,0.123
CENTRO,RANCHO NOVO,2,até 500 m²,0.0,500.0,1.673
CENTRO,RANCHO NOVO,2,"500,01 a 1.500 m²",500.01,1500.0,1.171
CENTRO,RANCHO NOVO,2,"1.500,01 a 5.000 m²",1500.01,5000.0,0.82
CENTRO,RANCHO NOVO,2,"5.000,01 a 20.000 m²",5000.01,20000.0,0.492
CENTRO,RANCHO NOVO,2,"20.000,01 a 50.000 m²",20000.01,50000.0,0.344
CENTRO,RANCHO NOVO,2,"50.000,01 a 100.000 m²",50000.01,100000.0,0.241
CENTRO,RANCHO NOVO,2,"100.000,01 a 500.000 m²",100000.01,500000.0,0.193
CENTRO,RANCHO NOVO,2,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.154
CENTRO,RANCHO NOVO,2,acima de  1.000.000 m²,1000000.0,,0.123
CENTRO,RANCHO NOVO,3,até 500 m²,0.0,500.0,1.673
CENTRO,RANCHO NOVO,3,"500,01 a 1.500 m²",500.01,1500.0,1.171
CENTRO,RANCHO NOVO,3,"1.500,01 a 5.000 m²",1500.01,5000.0,0.82
CENTRO,RANCHO NOVO,3,"5.000,01 a 20.000 m²",5000.01,20000.0,0.492
CENTRO,RANCHO NOVO,3,"20.000,01 a 50.000 m²",20000.01,50000.0,0.344
CENTRO,RANCHO NOVO,3,"50.000,01 a 100.000 m²",50000.01,100000.0,0.241
CENTRO,RANCHO NOVO,3,"100.000,01 a 500.000 m²",100000.01,500000.0,0.193
CENTRO,RANCHO NOVO,3,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.154
CENTRO,RANCHO NOVO,3,acima de  1.000.000 m²,1000000.0,,0.123
CENTRO,VILA NOVA,1,até 500 m²,0.0,500.0,1.673
CENTRO,VILA NOVA,1,"500,01 a 1.500 m²",500.01,1500.0,1.171
CENTRO,VILA NOVA,1,"1.500,01 a 5.000 m²",1500.01,5000.0,0.82
CENTRO,VILA NOVA,1,"5.000,01 a 20.000 m²",5000.01,20000.0,0.492
CENTRO,VILA NOVA,1,"20.000,01 a 50.000 m²",20000.01,50000.0,0.344
CENTRO,VILA NOVA,1,"50.000,01 a 100.000 m²",50000.01,100000.0,0.241
CENTRO,VILA NOVA,1,"100.000,01 a 500.000 m²",100000.01,500000.0,0.193
CENTRO,VILA NOVA,1,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.154
CENTRO,VILA NOVA,1,acima de  1.000.000 m²,1000000.0,,0.123
CENTRO,VILA NOVA,2,até 500 m²,0.0,500.0,1.673
CENTRO,VILA NOVA,2,"500,01 a 1.500 m²",500.01,1500.0,1.171
CENTRO,VILA NOVA,2,"1.500,01 a 5.000 m²",1500.01,5000.0,0.82
CENTRO,VILA NOVA,2,"5.000,01 a 20.000 m²",5000.01,20000.0,0.492
CENTRO,VILA NOVA,2,"20.000,01 a 50.000 m²",20000.01,50000.0,0.344
CENTRO,VILA NOVA,2,"50.000,01 a 100.000 m²",50000.01,100000.0,0.241
CENTRO,VILA NOVA,2,"100.000,01 a 500.000 m²",100000.01,500000.0,0.193
CENTRO,VILA NOVA,2,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.154
CENTRO,VILA NOVA,2,acima de  1.000.000 m²,1000000.0,,0.123
CENTRO,VILA NOVA,3,até 500 m²,0.0,500.0,1.2548
CENTRO,VILA NOVA,3,"500,01 a 1.500 m²",500.01,1500.0,0.8783
CENTRO,VILA NOVA,3,"1.500,01 a 5.000 m²",1500.01,5000.0,0.615
CENTRO,VILA NOVA,3,"5.000,01 a 20.000 m²",5000.01,20000.0,0.492
CENTRO,VILA NOVA,3,"20.000,01 a 50.000 m²",20000.01,50000.0,0.344
CENTRO,VILA NOVA,3,"50.000,01 a 100.000 m²",50000.01,100000.0,0.241
CENTRO,VILA NOVA,3,"100.000,01 a 500.000 m²",100000.01,500000.0,0.193
CENTRO,VILA NOVA,3,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.154
CENTRO,VILA NOVA,3,acima de  1.000.000 m²,1000000.0,,0.123
CENTRO,CHACRINHA,1,até 500 m²,0.0,500.0,1.464
CENTRO,CHACRINHA,1,"500,01 a 1.500 m²",500.01,1500.0,1.025
CENTRO,CHACRINHA,1,"1.500,01 a 5.000 m²",1500.01,5000.0,0.717
CENTRO,CHACRINHA,1,"5.000,01 a 20.000 m²",5000.01,20000.0,0.431
CENTRO,CHACRINHA,1,"20.000,01 a 50.000 m²",20000.01,50000.0,0.301
CENTRO,CHACRINHA,1,"50.000,01 a 100.000 m²",50000.01,100000.0,0.211
CENTRO,CHACRINHA,1,"100.000,01 a 500.000 m²",100000.01,500000.0,0.169
CENTRO,CHACRINHA,1,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.135
CENTRO,CHACRINHA,1,acima de  1.000.000 m²,1000000.0,,0.108
CENTRO,CHACRINHA,2,até 500 m²,0.0,500.0,1.464
CENTRO,CHACRINHA,2,"500,01 a 1.500 m²",500.01,1500.0,1.025
CENTRO,CHACRINHA,2,"1.500,01 a 5.000 m²",1500.01,5000.0,0.717
CENTRO,CHACRINHA,2,"5.000,01 a 20.000 m²",5000.01,20000.0,0.431
CENTRO,CHACRINHA,2,"20.000,01 a 50.000 m²",20000.01,50000.0,0.301
CENTRO,CHACRINHA,2,"50.000,01 a 100.000 m²",50000.01,100000.0,0.211
CENTRO,CHACRINHA,2,"100.000,01 a 500.000 m²",100000.01,500000.0,0.169
CENTRO,CHACRINHA,2,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.135
CENTRO,CHACRINHA,2,acima de  1.000.000 m²,1000000.0,,0.108
CENTRO,CHACRINHA,3,até 500 m²,0.0,500.0,1.464
CENTRO,CHACRINHA,3,"500,01 a 1.500 m²",500.01,1500.0,1.025
CENTRO,CHACRINHA,3,"1.500,01 a 5.000 m²",1500.01,5000.0,0.717
CENTRO,CHACRINHA,3,"5.000,01 a 20.000 m²",5000.01,20000.0,0.431
CENTRO,CHACRINHA,3,"20.000,01 a 50.000 m²",20000.01,50000.0,0.301
CENTRO,CHACRINHA,3,"50.000,01 a 100.000 m²",50000.01,100000.0,0.211
CENTRO,CHACRINHA,3,"100.000,01 a 500.000 m²",100000.01,500000.0,0.169
CENTRO,CHACRINHA,3,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.135
CENTRO,CHACRINHA,3,acima de  1.000.000 m²,1000000.0,,0.108
CENTRO,STA EUGÊNIA,1,até 500 m²,0.0,500.0,1.464
CENTRO,STA EUGÊNIA,1,"500,01 a 1.500 m²",500.01,1500.0,1.025
CENTRO,STA EUGÊNIA,1,"1.500,01 a 5.000 m²",1500.01,5000.0,0.717
CENTRO,STA EUGÊNIA,1,"5.000,01 a 20.000 m²",5000.01,20000.0,0.431
CENTRO,STA EUGÊNIA,1,"20.000,01 a 50.000 m²",20000.01,50000.0,0.301
CENTRO,STA EUGÊNIA,1,"50.000,01 a 100.000 m²",50000.01,100000.0,0.211
CENTRO,STA EUGÊNIA,1,"100.000,01 a 500.000 m²",100000.01,500000.0,0.169
CENTRO,STA EUGÊNIA,1,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.135
CENTRO,STA EUGÊNIA,1,acima de  1.000.000 m²,1000000.0,,0.108
CENTRO,STA EUGÊNIA,2,até 500 m²,0.0,500.0,1.464
CENTRO,STA EUGÊNIA,2,"500,01 a 1.500 m²",500.01,1500.0,1.025
