urg,bairro,codigo_logradouro,faixa_area,area_min,area_max,valor_ufinig_m2
POSSE,Kenned y / Caioaba,00327-82,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.024
POSSE,Kenned y / Caioaba,00327-82,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.717
POSSE,Kenned y / Caioaba,00327-82,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.43
POSSE,Kenned y / Caioaba,00327-82,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.344
POSSE,Kenned y / Caioaba,00327-82,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.31
POSSE,Kenned y / Caioaba,00327-82,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.279
COMEND ADOR SOARES,ComendadorSoares,00327-83,AT É 500 M²,0.0,500.0,2.008
COMEND ADOR SOARES,ComendadorSoares,00327-83,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,1.707
COMEND ADOR SOARES,ComendadorSoares,00327-83,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,1.365
COMEND ADOR SOARES,ComendadorSoares,00327-83,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.024
COMEND ADOR SOARES,ComendadorSoares,00327-83,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.717
COMEND ADOR SOARES,ComendadorSoares,00327-83,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.43
COMEND ADOR SOARES,ComendadorSoares,00327-83,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.344
COMEND ADOR SOARES,ComendadorSoares,00327-83,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.31
COMEND ADOR SOARES,ComendadorSoares,00327-83,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.279
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,AT É 500 M²,0.0,500.0,0.837
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,0.669
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,0.535
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,0.241
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,0.108
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.076
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.061
COMEND ADOR SOARES,Rosa dos Ventos,00327-84,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.055
